Title,Latitude,Longitude,Theme,Description,Website,Group type,icon
Acre place group,50.37479817,-4.168420478,Gardening,"Natural hedges project, tree planting near city college (paradise field)",https://www.facebook.com/groups/4597732566934717,Community and voluntary,markerGardening
Arts University Plymouth,50.3732772,-4.137286,Arts,An independent specialist university run by artists and designers for artists and designers widely regarded as a dynamic catalyst for creative learning and social justice,https://www.plymouthart.ac.uk/,Education,markerArts
Beaumont Park,50.373572,-4.1322936,Outdoors,"""The park is surrounded by high walls and forms a unit with the next door Beaumont House. There are formal gardens near to the house whilst the rest of the park contains mature trees. The park is known to some as 'Squirrel Park' because of the abundance of grey squirrels that scamper about between the trees.""",https://www.plymouth.gov.uk/beaumont-park,Public sector - environment,markerOutdoors
Beaumont Park wild growing area,50.372831,-4.130912,Gardening,"Bug hotel, pond, wildflower meadow, bird and bat boxes",https://nash.co.uk/beaumont-park/,Community and voluntary,markerGardening
Blockhouse Park,50.3816157,-4.168203,Outdoors,One of the highest points in the city (70m) offering spectacular views of Dartmoor Plymouth Sound and over the River Tamar to Bodmin Moor,https://www.plymouth.gov.uk/parksnatureandgreenspaces/findpark/blockhousepark,Public sector - environment,markerOutdoors
Blockhouse Park Growing & Gardening,50.3805572,-4.1662726,Gardening,Gardening project in Blockhouse Park,https://www.thevillagehub.org.uk/growing/,Social Enterprise,markerGardening
Blooming bonkers,50.4043322,-4.1840838,Gardening,"A project to promote wellbeing through gardening for people in the PL6 community, aiming to tackle social exclusion and loneliness issues. Run by adults with learning disabilities and/or autism.",https://www.facebook.com/bloomingblonkers,Community and voluntary,markerGardening
Central Park Allotment Association,50.3912385,-4.1477995,Food,"Community orchard and pond, school visits bookable",https://www.facebook.com/inboxCPAA/,Community and voluntary,markerFood
Character Creation Roleplaying CIC,50.3863859,-4.0517235,Outdoors,CIC that produces environmental games to increase engagement with the natural world. Also on FB: https://www.facebook.com/CharacterCreationRPG,http://www.CharacterCreationRPG.co.uk,Social Enterprise,markerOutdoors
City College,50.375614,-4.163801,Food,Grow Allot - Allotment area for staff,https://prezi.com/cftv4rjooi03/city-college-plymouth-grow-allot-project/,Education,markerFood
Communities of the Soil - HQ,50.3691496,-4.1584332,Innovation,Diversity Business Incubator (DBI) in partnership with the Apricot Centre,https://www.communitiesofthesoil.co.uk/,Social Enterprise,markerInnovation
Communities of the Soil - Jabulani,50.3702349,-4.153092,Innovation,Run by Diversity Business Incubator (DBI),https://www.communitiesofthesoil.co.uk/,Social Enterprise,markerInnovation
CROPS (Livewell South West),50.3802669,-4.1593361,Gardening,Social Prescribing project: a green space providing horticultural therapy to adults with the aim of improving their mental wellbeing.,https://www.livewellsouthwest.co.uk/news/2021/04/27/crop-gardens-helping-people-to-grow-and-flourish-through-horticultural-therapy,Public Sector - Health,markerGardening
Devonport Park,50.375453,-4.1724015,Outdoors,"""Also known as the 'People's Park', this registered historic park (Grade II) sits between the communities of Devonport, Stoke, Morice Town and Keyham. Built 150 years ago, it is the oldest formal public park in Plymouth.""",https://www.plymouth.gov.uk/devonport-park,Public sector - environment,markerOutdoors
Family foraging kitchen,50.3745395,-4.2029084,Food,"""We are a social enterprise providing foraging walks and heritage craft courses across Plymouth and Cornwall. Through education and initiatives, we aim to reduce food insecurity, preserve traditional skills, and build sustainable communities that are connected to nature.""",https://familyforagingkitchen.co.uk/,Social Enterprise,markerFood
Family tree field,50.3864947,-4.1487144,Heritage,Plymouth Tree Partnership maintain records for the family tree field in Central Park.,https://www.plymouthtrees.org/,Community and voluntary,markerHeritage
Firestone bay rock pool project,50.3611961,-4.1607307,Biodiversity,CIC passionate about connecting people of all ages and backgrounds to the incredible wildlife found around our coastline.,https://www.therockpoolproject.co.uk/,Social Enterprise,markerBiodiversity
Flax project CIC,50.3698475,-4.1529255,Food,"""Our aim is to establish a commercial flax growing social enterprise that is environmentally responsible. Eventually we aim to develop an integrated ‘grow, process, spin, weave and sell’ social enterprise involving local small farmers and creative enterprises in Plymouth and Cornwall linking the city to the surrounding countryside and vice versa and providing sustainable and long term employment and training opportunities in the these areas. Projects in the city at Snapdragons, Blockhouse Park and Keyham Green Spaces.""",https://www.flaxproject.uk/,Social Enterprise,markerFood
